query_index,query_name,rank,database_index,database_name,distance,is_positive,query_y_m,query_x_m,database_y_m,database_x_m
0,@768.000@768.000@synthetic_geotiff@000000.png,1,49,@768@768@grid1@z17,0.3389231562614441,True,937.5,937.5,937.5,937.5
0,@768.000@768.000@synthetic_geotiff@000000.png,2,50,@768@1280@grid1@z17,0.37959766387939453,False,937.5,937.5,937.5,1562.5
0,@768.000@768.000@synthetic_geotiff@000000.png,3,71,@2304@1280@grid1@z17,0.38254421949386597,False,937.5,937.5,2812.5,1562.5
0,@768.000@768.000@synthetic_geotiff@000000.png,4,57,@1280@1280@grid1@z17,0.384163498878479,False,937.5,937.5,1562.5,1562.5
0,@768.000@768.000@synthetic_geotiff@000000.png,5,65,@1792@1792@grid1@z17,0.3900619149208069,False,937.5,937.5,2187.5,2187.5
1,@768.000@1280.000@synthetic_geotiff@000001.png,1,50,@768@1280@grid1@z17,0.209720641374588,True,937.5,1562.5,937.5,1562.5
1,@768.000@1280.000@synthetic_geotiff@000001.png,2,57,@1280@1280@grid1@z17,0.2823236286640167,False,937.5,1562.5,1562.5,1562.5
1,@768.000@1280.000@synthetic_geotiff@000001.png,3,16,@1536@1536@grid0@z17,0.2905440926551819,False,937.5,1562.5,1875.0,1875.0
1,@768.000@1280.000@synthetic_geotiff@000001.png,4,15,@1536@1024@grid0@z17,0.29818853735923767,False,937.5,1562.5,1875.0,1250.0
1,@768.000@1280.000@synthetic_geotiff@000001.png,5,71,@2304@1280@grid1@z17,0.3107122778892517,False,937.5,1562.5,2812.5,1562.5
2,@768.000@1792.000@synthetic_geotiff@000002.png,1,51,@768@1792@grid1@z17,0.33121123909950256,True,937.5,2187.5,937.5,2187.5
2,@768.000@1792.000@synthetic_geotiff@000002.png,2,5,@512@3072@grid0@z17,0.36623096466064453,False,937.5,2187.5,625.0,3750.0
2,@768.000@1792.000@synthetic_geotiff@000002.png,3,53,@768@2816@grid1@z17,0.39808157086372375,False,937.5,2187.5,937.5,3437.5
