query_index,query_name,rank,database_index,database_name,distance,is_positive,query_y_m,query_x_m,database_y_m,database_x_m
0,@1280.000@2816.000@synthetic_geotiff@000010.png,1,60,@1280@2816@grid1@z17,0.21596303582191467,True,1562.5,3437.5,1562.5,3437.5
0,@1280.000@2816.000@synthetic_geotiff@000010.png,2,12,@1024@3072@grid0@z17,0.36170241236686707,True,1562.5,3437.5,1250.0,3750.0
0,@1280.000@2816.000@synthetic_geotiff@000010.png,3,55,@768@3840@grid1@z17,0.3700694441795349,False,1562.5,3437.5,937.5,4687.5
0,@1280.000@2816.000@synthetic_geotiff@000010.png,4,24,@2048@2048@grid0@z17,0.3793641924858093,False,1562.5,3437.5,2500.0,2500.0
0,@1280.000@2816.000@synthetic_geotiff@000010.png,5,10,@1024@2048@grid0@z17,0.4064745306968689,False,1562.5,3437.5,1250.0,2500.0
1,@2304.000@3328.000@synthetic_geotiff@000023.png,1,75,@2304@3328@grid1@z17,0.2319609820842743,True,2812.5,4062.5,2812.5,4062.5
1,@2304.000@3328.000@synthetic_geotiff@000023.png,2,60,@1280@2816@grid1@z17,0.3153749108314514,False,2812.5,4062.5,1562.5,3437.5
1,@2304.000@3328.000@synthetic_geotiff@000023.png,3,12,@1024@3072@grid0@z17,0.3166593015193939,False,2812.5,4062.5,1250.0,3750.0
1,@2304.000@3328.000@synthetic_geotiff@000023.png,4,27,@2048@3584@grid0@z17,0.3347449004650116,True,2812.5,4062.5,2500.0,4375.0
1,@2304.000@3328.000@synthetic_geotiff@000023.png,5,69,@1792@3840@grid1@z17,0.3458142578601837,False,2812.5,4062.5,2187.5,4687.5
2,@3328.000@2816.000@synthetic_geotiff@000034.png,1,88,@3328@2816@grid1@z17,0.22415484488010406,True,4062.5,3437.5,4062.5,3437.5
2,@3328.000@2816.000@synthetic_geotiff@000034.png,2,40,@3072@3072@grid0@z17,0.32335418462753296,True,4062.5,3437.5,3750.0,3750.0
2,@3328.000@2816.000@synthetic_geotiff@000034.png,3,39,@3072@2560@grid0@z17,0.3301003873348236,True,4062.5,3437.5,3750.0,3125.0
2,@3328.000@2816.000@synthetic_geotiff@000034.png,4,38,@3072@2048@grid0@z17,0.36801478266716003,False,4062.5,3437.5,3750.0,2500.0
2,@3328.000@2816.000@synthetic_geotiff@000034.png,5,90,@3328@3840@grid1@z17,0.3734983205795288,False,4062.5,3437.5,4062.5,4687.5
